1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Ready?,name,Train Type,,Speed,,,Track Compatibility,,,,,,,Track Geometry,,,,,,,,Station Geometry,,,,,Train Consists,,,Car Specs,,,,Capacity,,Financials,,,,,,,UI Info,,Train Categories,,,,,,,,,
Ready,name,trainType,MainTrack,maxSpeed,maxAcceleration,maxDeceleration,Automation,Electrification,Voltage,TrackGauge,LoadingGauge,CompatibleTracks,ExtraTracks,maxLateralAcceleration,canCrossRoads,maxSlopePercentage,minTurnRadius,TrainGapFillerLength,StationGapFillerLength,parallelTrackSpacing,trackClearance,minStationTurnRadius,stopTimeSeconds,minStationLength,maxStationLength,maxSpeedLocalStation,minCars,maxCars,carsPerCarSet,capacityPerCar,carLength,trainWidth,carCost,MinCapacity,MaxCapacity,baseTrackCost,baseStationCost,scissorsCrossoverCost,Old,trainOperationalCostPerHour,carOperationalCostPerHour,Multipliers,desc,color,Manufacturer,Cities,Nation,Cont,Generic,Cities2,Nation2,Author,mainTrackID,trainType2
TRUE,NJT LRV-3,LRT,DC 750V (GoA1 | CAT | BM),24.4,1.34,1.34,"GoA1, GoA0",catenary,Modern DC,Standard,Barcelona Metro,"std_mdc-1_cat_bm, std_mdc-0_cat_bm",,1.20,TRUE,8.0,25,0.00,0.00,2.22,1.06,400,36,60,70,6.7,3,6,3,67,9.14,2.68,1166667,201,402,42500,63750000,12750000,FALSE,200,20.0,3.63|1.61|0.81|0.30|0.78,"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the original, 3 section version.",#E06C9E,Kinki Sharyo,NYC,US,North America,FALSE,New York City,United States of America,DanielD1909,std_mdc-1_cat_bm,LRT
TRUE,NJT LRV-5,LRT,DC 750V (GoA1 | CAT | BM),24.4,1.34,1.34,"GoA1, GoA0",catenary,Modern DC,Standard,Barcelona Metro,"std_mdc-1_cat_bm, std_mdc-0_cat_bm",,1.20,TRUE,8.0,25,0.00,0.00,2.22,1.06,300,36,60,60,6.7,5,5,5,60,7.74,2.68,920000,300,300,42500,63750000,12750000,FALSE,200,20.0,3.63|1.61|0.81|0.30|0.78,"This is an unnamed articulated low-floor light-rail vehicle built by Kinki-Sharyo for New Jersey Transit, specifically Hudson-Bergen Light Rail and Newark Light Rail. It has been in service since 2000. This is the 5 section version.",#FF7CB5,Kinki Sharyo,NYC,US,North America,FALSE,New York City,United States of America,DanielD1909,std_mdc-1_cat_bm,LRT
TRUE,BR Class 150,Diesel Commuter,Diesel (GoA0 | NON | MW),26.9,0.50,0.60,"GoA1, GoA0",none,None,Standard,"Metro Wide, RER Narrow","std_cdc-1_tra_rer, std_iac-1_cat_mw, std_iac-0_cat_mw, std_cdc-1_tra_mw, std_cdc-0_tra_mw, std_mdc-1_cat_mw, std_non-1_non_mw, std_non-0_non_mw, std_cdc-1_tru_mw, std_cdc-1_trucat_mw, std_hv-0_cat_rer, std_iac-0_cat_rer, std_hv-1_cat_rer, std_iac-1_cat_rer, std_mdc-1_tra_rer, std_ukr-1_tru_mw, std_mdc-1_tru_mw, std_mdc-1_fr_rer",,0.75,TRUE,1.0,100,0.00,0.00,2.27,1.08,2000,105,60,60,14.0,2,2,2,100,19.93,2.82,1500000,200,200,28125,45000000,4875000,TRUE,1140,114.0,3.26|1.45|0.73|0.30|0.79,The Sprinter (BR 150) is a commuter rail DMU built by BREL that entered service in 1984. Capacity is artificially higher due to game processing requirements. Cost is an estimate.,#68912F,BREL,LDN,UK,Europe,FALSE,London,United Kingdom,DanielD1909,std_non-0_non_mw,Diesel Commuter
TRUE,Flexity Berlin L,LRT,DC 750V (GoA1 | CAT | UN),19.4,0.65,0.65,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,0,0.00,0.00,1.87,0.88,200,36,60,65,6.7,7,7,7,34,5.71,2.40,548210,238,238,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Flexity Berlin is an articulated low-floor LRV produced by Bombardier/Alstom as a derivative of their Flexity family. It entered service in 2009. This is the longer 7 segment version.,#107C42,Bombardier,BER,DE,Central Europe,FALSE,Berlin,Germany,DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Urbanliner Berlin,LRT,DC 750V (GoA1 | CAT | UN),19.4,0.65,0.65,"GoA1, GoA0",catenary,"Classical DC, Modern DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,0,0.00,0.00,1.87,0.88,200,36,60,65,6.7,9,9,9,34,5.56,2.40,612032,306,306,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Urbanliner Berlin is an articulated low-floor LRV produced by Alstom as a longer (9-car) sequel to the Flexity Berlin. It entered service in 2025.,#14988A,Alstom,BER,DE,Central Europe,FALSE,Berlin,Germany,DanielD1909,std_mdc-1_cat_un,LRT
TRUE,AnsaldoBreda DM-S,Metro,DC 750V (GoA4 | TRU | MS),25.0,1.30,1.30,GoA4,"tr-under, tr-above, catenary","Modern DC, High Voltage DC",Standard,Metro Standard,"std_mdc-4_tru_ms, std_hv-4_tru_ms, std_hv-4_cat_ms",,1.00,FALSE,5.5,50,0.00,0.00,2.12,1.01,900,32,60,75,18.0,3,4,1,158,13.00,2.65,1763544,473,630,56925,82500000,18750000,FALSE,400,40.0,4.07|1.81|0.90|0.30|0.77,"The Hitachi Rail Italy Driverless Metro (formerly AnsaldoBreda) is a fully autonomous EMU family used across the globe. This specific model is based on those used by Copenhagen, Brescia, and Milan since 2013.",#9E0817,"AnsaldoBreda,Hitachi","CPH, MIL","DK, IT","Northern Europe, Southern Europe",FALSE,"Copenhagen, Milan","Denmark, Italy",DanielD1909,std_mdc-4_tru_ms,Automated Metro
TRUE,Citadis 402,LRT,DC 750V (GoA1 | CAT | MS),19.4,1.30,1.20,"GoA1, GoA0","catenary, aps","Modern DC, High Voltage DC, International AC, Classical DC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_hv-0_cat_ms, std_iac-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms, std_hv-1_cat_ms, std_iac-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,60,75,6.7,7,7,7,43,6.25,2.65,1000000,301,301,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,"The Citadis is a family of articulated low-floor LRVs built by Alstom that have been in service since 2000. This is the 2nd generation, seven section version.",#F28E42,Alstom,"Generic, PAR","Generic, FR","Generic, Western Europe",TRUE,"Generic, Paris","Generic, France",DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Citadis 305 N,LRT,DC 750V (GoA1 | CAT | UN),19.4,1.30,1.20,"GoA1, GoA0","catenary, aps","Modern DC, High Voltage DC, International AC, Classical DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,400,36,60,75,6.7,5,5,5,60,8.68,2.40,1000000,300,300,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,"The Citadis is a family of articulated low-floor LRVs built by Alstom that have been in service since 2000. This is the 5th generation, narrow, five section version.",#0094FF,Alstom,"Generic, PAR, ATH","Generic, FR, GR","Generic, Western Europe, Southern Europe",TRUE,"Generic, Paris, Athens","Generic, France, Greece",DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Citadis 405,LRT,DC 750V (GoA1 | CAT | MS),19.4,1.30,1.20,"GoA1, GoA0","catenary, aps","Modern DC, High Voltage DC, International AC, Classical DC",Standard,Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_hv-0_cat_ms, std_iac-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms, std_hv-1_cat_ms, std_iac-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,60,75,6.7,7,7,7,49,6.43,2.65,1000000,343,343,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,"The Citadis is a family of articulated low-floor LRVs built by Alstom that have been in service since 2000. This is the 5th generation, seven section version.",#5291CE,Alstom,"Generic, PAR","Generic, FR","Generic, Western Europe",TRUE,"Generic, Paris","Generic, France",DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Innovia APM,People Mover,APMs DC 1.5kV (GoA4 | TRS | MW),13.9,1.00,1.00,GoA4,tr-side,Modern DC,APMs,"Metro Wide, RER Narrow",", aps_hv-4_trs_mw",,1.00,FALSE,6.0,50,0.00,0.00,2.27,1.08,800,27,60,75,10.0,2,4,1,100,12.80,2.80,3600000,200,400,63883,82500000,18937500,FALSE,200,20.0,4.39|1.95|0.98|0.30|0.79,The Innovia APM is an automated people mover built by Bombardier that is mainly used in airports. IRL it can run in sets of 1 but game processing requirements mean its 2 minimum.,#000000,Bombardier,MIA,US,North America,FALSE,Miami,United States of America,DanielD1909,aps_hv-4_trs_mw,Automated People Mover
TRUE,Citadis 401,LRT,DC 750V (GoA1 | CAT | UN),19.4,1.30,1.20,"GoA1, GoA0","catenary, aps","Modern DC, High Voltage DC, International AC, Classical DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,60,75,6.7,7,7,7,38,5.83,2.40,1000000,264,264,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,"The Citadis is a family of articulated low-floor LRVs built by Alstom that have been in service since 2000. This is the 1st generation, seven section version. Acceleration is a guesstimate.",#4F3189,Alstom,"Generic, DUB","Generic, IE","Generic, Western Europe",TRUE,"Generic, Dublin","Generic, Ireland",DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Citadis 502,LRT,DC 750V (GoA1 | CAT | UN),19.4,1.30,1.20,"GoA1, GoA0","catenary, aps","Modern DC, High Voltage DC, International AC, Classical DC",Standard,"Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,60,75,6.7,9,9,9,45,6.08,2.40,1000000,408,408,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,"The Citadis is a family of articulated low-floor LRVs built by Alstom that have been in service since 2000. This is the 2nd generation, nine section version. Acceleration is a guesstimate.",#764ACE,Alstom,"Generic, DUB","Generic, IE","Generic, Western Europe",TRUE,"Generic, Dublin","Generic, Ireland",DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Urbos 100 (BUD-9),LRT,DC 750V (GoA1 | CAT | UN),13.9,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC","Standard, Metre","Ultra-Narrow, 2.45 m","std_mdc-1_cat_tff, std_mdc-0_cat_tff, std_mdc-1_cat_un, std_mdc-0_cat_un, std_cdc-1_cat_un, std_cdc-0_cat_un, m_mdc-1_cat_un, m_mdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,60,80,6.7,9,9,9,53,6.32,2.40,435966,477,477,42500,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Urbos family are articulated low-floor light-rail vehicles built by CAF that have been in service across the world since the 90s. This specific model is based on the Budapest 9-section version. Acceleration is guesstimated.,#FFD900,CAF,BUD,HU,Eastern Europe,FALSE,Budapest,Hungary,DanielD1909,std_mdc-1_cat_un,LRT
TRUE,Urbos 3 (EDI),LRT,DC 750V (GoA1 | CAT | MS),19.4,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC","Standard, Metre",Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,60,60,6.7,7,7,7,36,6.11,2.65,278841,252,252,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,The Urbos family are articulated low-floor light-rail vehicles built by CAF that have been in service across the world since the 90s. This specific model is based on the Edinburgh version.,#8A0D04,CAF,"CGY, EDI","CA, UK","North America, Europe",FALSE,"Calgary, Edinburgh","Canada, United Kingdom",DanielD1909,std_mdc-1_cat_ms,LRT
TRUE,Artic X54,LRT,Metre DC 750V (GoA1 | CAT | UN),22.2,1.20,1.20,"GoA1, GoA0",catenary,Modern DC,Metre,"Ultra-Narrow, 2.45 m","m_mdc-1_cat_un, m_mdc-0_cat_un",,1.20,TRUE,8.0,25,0.00,0.00,1.87,0.88,200,36,60,55,6.7,5,6,1,71,6.80,2.42,838159,355,426,46750,63750000,12750000,FALSE,200,20.0,3.17|1.41|0.70|0.30|0.73,The Arctic X54 is an articulated LRV built by Škoda for Helsinki's light rail network that entered service in 2021. It is expandable. Acceleration is a guesstimate.,#007E79,Škoda,HEL,FI,Northern Europe,FALSE,Helsinki,Finland,DanielD1909,m_mdc-1_cat_un,LRT
TRUE,Urbos 100 (SYD),LRT,DC 750V (GoA1 | CAT | MS),22.2,1.20,1.20,"GoA1, GoA0",catenary,"Classical DC, Modern DC","Standard, Metre",Metro Standard,"std_cdc-0_cat_ms, std_mdc-0_cat_ms, std_cdc-1_cat_ms, std_mdc-1_cat_ms",,1.20,TRUE,8.0,25,0.00,0.00,2.12,1.01,200,36,60,60,6.7,7,7,7,43,6.43,2.65,307022,301,301,42500,63750000,12750000,FALSE,200,20.0,3.50|1.55|0.78|0.30|0.77,The Urbos family are articulated low-floor light-rail vehicles built by CAF that have been in service across the world since the 90s. This specific model is based on those in use in Sydney. Acceleration is guesstimated.,#239847,CAF,SYD,AU,Oceania,FALSE,Sydney,Australia,DanielD1909,std_mdc-1_cat_ms,LRT
